,tokenized_sentences,len,word_tokens,lower,no_punc,stopwords_removed,pos_tags
767,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
768,"938-939) And Maia, the daughter of Atlas, bare to Zeus glorious
Hermes, the herald of the deathless gods, for she went up into his holy
bed.",140,"['938-939', ')', 'And', 'Maia', ',', 'the', 'daughter', 'of', 'Atlas', ',', 'bare', 'to', 'Zeus', 'glorious', 'Hermes', ',', 'the', 'herald', 'of', 'the', 'deathless', 'gods', ',', 'for', 'she', 'went', 'up', 'into', 'his', 'holy', 'bed', '.']","['938-939', ')', 'and', 'maia', ',', 'the', 'daughter', 'of', 'atlas', ',', 'bare', 'to', 'zeus', 'glorious', 'hermes', ',', 'the', 'herald', 'of', 'the', 'deathless', 'gods', ',', 'for', 'she', 'went', 'up', 'into', 'his', 'holy', 'bed', '.']","['938-939', 'and', 'maia', 'the', 'daughter', 'of', 'atlas', 'bare', 'to', 'zeus', 'glorious', 'hermes', 'the', 'herald', 'of', 'the', 'deathless', 'gods', 'for', 'she', 'went', 'up', 'into', 'his', 'holy', 'bed']","['938-939', 'maia', 'daughter', 'atlas', 'bare', 'zeus', 'glorious', 'hermes', 'herald', 'deathless', 'gods', 'went', 'holy', 'bed']","[('938-939', 'CD'), ('maia', 'JJ'), ('daughter', 'NN'), ('atlas', 'NNS'), ('bare', 'VBP'), ('zeus', 'RB'), ('glorious', 'JJ'), ('hermes', 'NNS'), ('herald', 'VBP'), ('deathless', 'JJ'), ('gods', 'NNS'), ('went', 'VBD'), ('holy', 'JJ'), ('bed', 'NN')]"
769,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
770,"940-942) And Semele, daughter of Cadmus was joined with him in
love and bare him a splendid son, joyous Dionysus,—a mortal woman an
immortal son.",145,"['940-942', ')', 'And', 'Semele', ',', 'daughter', 'of', 'Cadmus', 'was', 'joined', 'with', 'him', 'in', 'love', 'and', 'bare', 'him', 'a', 'splendid', 'son', ',', 'joyous', 'Dionysus', ',', '—a', 'mortal', 'woman', 'an', 'immortal', 'son', '.']","['940-942', ')', 'and', 'semele', ',', 'daughter', 'of', 'cadmus', 'was', 'joined', 'with', 'him', 'in', 'love', 'and', 'bare', 'him', 'a', 'splendid', 'son', ',', 'joyous', 'dionysus', ',', '—a', 'mortal', 'woman', 'an', 'immortal', 'son', '.']","['940-942', 'and', 'semele', 'daughter', 'of', 'cadmus', 'was', 'joined', 'with', 'him', 'in', 'love', 'and', 'bare', 'him', 'a', 'splendid', 'son', 'joyous', 'dionysus', '—a', 'mortal', 'woman', 'an', 'immortal', 'son']","['940-942', 'semele', 'daughter', 'cadmus', 'joined', 'love', 'bare', 'splendid', 'son', 'joyous', 'dionysus', '—a', 'mortal', 'woman', 'immortal', 'son']","[('940-942', 'CD'), ('semele', 'JJ'), ('daughter', 'NN'), ('cadmus', 'NN'), ('joined', 'VBD'), ('love', 'JJR'), ('bare', 'NN'), ('splendid', 'JJ'), ('son', 'NN'), ('joyous', 'JJ'), ('dionysus', 'NN'), ('—a', 'NNP'), ('mortal', 'JJ'), ('woman', 'NN'), ('immortal', 'JJ'), ('son', 'NN')]"
771,And now they both are gods.,27,"['And', 'now', 'they', 'both', 'are', 'gods', '.']","['and', 'now', 'they', 'both', 'are', 'gods', '.']","['and', 'now', 'they', 'both', 'are', 'gods']",['gods'],"[('gods', 'NNS')]"
772,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
773,"943-944) And Alcmena was joined in love with Zeus who drives the
clouds and bare mighty Heracles.",97,"['943-944', ')', 'And', 'Alcmena', 'was', 'joined', 'in', 'love', 'with', 'Zeus', 'who', 'drives', 'the', 'clouds', 'and', 'bare', 'mighty', 'Heracles', '.']","['943-944', ')', 'and', 'alcmena', 'was', 'joined', 'in', 'love', 'with', 'zeus', 'who', 'drives', 'the', 'clouds', 'and', 'bare', 'mighty', 'heracles', '.']","['943-944', 'and', 'alcmena', 'was', 'joined', 'in', 'love', 'with', 'zeus', 'who', 'drives', 'the', 'clouds', 'and', 'bare', 'mighty', 'heracles']","['943-944', 'alcmena', 'joined', 'love', 'zeus', 'drives', 'clouds', 'bare', 'mighty', 'heracles']","[('943-944', 'CD'), ('alcmena', 'NN'), ('joined', 'VBD'), ('love', 'RBR'), ('zeus', 'NN'), ('drives', 'NNS'), ('clouds', 'VBP'), ('bare', 'JJ'), ('mighty', 'NN'), ('heracles', 'NNS')]"
774,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
775,"945-946) And Hephaestus, the famous Lame One, made Aglaea,
youngest of the Graces, his buxom wife.",98,"['945-946', ')', 'And', 'Hephaestus', ',', 'the', 'famous', 'Lame', 'One', ',', 'made', 'Aglaea', ',', 'youngest', 'of', 'the', 'Graces', ',', 'his', 'buxom', 'wife', '.']","['945-946', ')', 'and', 'hephaestus', ',', 'the', 'famous', 'lame', 'one', ',', 'made', 'aglaea', ',', 'youngest', 'of', 'the', 'graces', ',', 'his', 'buxom', 'wife', '.']","['945-946', 'and', 'hephaestus', 'the', 'famous', 'lame', 'one', 'made', 'aglaea', 'youngest', 'of', 'the', 'graces', 'his', 'buxom', 'wife']","['945-946', 'hephaestus', 'famous', 'lame', 'one', 'made', 'aglaea', 'youngest', 'graces', 'buxom', 'wife']","[('945-946', 'JJ'), ('hephaestus', 'NN'), ('famous', 'JJ'), ('lame', 'NN'), ('one', 'CD'), ('made', 'VBD'), ('aglaea', 'NN'), ('youngest', 'JJS'), ('graces', 'NNS'), ('buxom', 'VBP'), ('wife', 'NN')]"
776,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
777,"947-949) And golden-haired Dionysus made brown-haired Ariadne, the
daughter of Minos, his buxom wife: and the son of Cronos made her
deathless and unageing for him.",164,"['947-949', ')', 'And', 'golden-haired', 'Dionysus', 'made', 'brown-haired', 'Ariadne', ',', 'the', 'daughter', 'of', 'Minos', ',', 'his', 'buxom', 'wife', ':', 'and', 'the', 'son', 'of', 'Cronos', 'made', 'her', 'deathless', 'and', 'unageing', 'for', 'him', '.']","['947-949', ')', 'and', 'golden-haired', 'dionysus', 'made', 'brown-haired', 'ariadne', ',', 'the', 'daughter', 'of', 'minos', ',', 'his', 'buxom', 'wife', ':', 'and', 'the', 'son', 'of', 'cronos', 'made', 'her', 'deathless', 'and', 'unageing', 'for', 'him', '.']","['947-949', 'and', 'golden-haired', 'dionysus', 'made', 'brown-haired', 'ariadne', 'the', 'daughter', 'of', 'minos', 'his', 'buxom', 'wife', 'and', 'the', 'son', 'of', 'cronos', 'made', 'her', 'deathless', 'and', 'unageing', 'for', 'him']","['947-949', 'golden-haired', 'dionysus', 'made', 'brown-haired', 'ariadne', 'daughter', 'minos', 'buxom', 'wife', 'son', 'cronos', 'made', 'deathless', 'unageing']","[('947-949', 'JJ'), ('golden-haired', 'JJ'), ('dionysus', 'NN'), ('made', 'VBD'), ('brown-haired', 'JJ'), ('ariadne', 'JJ'), ('daughter', 'NN'), ('minos', 'NNS'), ('buxom', 'VBP'), ('wife', 'NN'), ('son', 'NN'), ('cronos', 'NNS'), ('made', 'VBD'), ('deathless', 'NN'), ('unageing', 'NN')]"
778,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
779,"950-955) And mighty Heracles, the valiant son of neat-ankled
Alcmena, when he had finished his grievous toils, made Hebe the child
of great Zeus and gold-shod Hera his shy wife in snowy Olympus.",194,"['950-955', ')', 'And', 'mighty', 'Heracles', ',', 'the', 'valiant', 'son', 'of', 'neat-ankled', 'Alcmena', ',', 'when', 'he', 'had', 'finished', 'his', 'grievous', 'toils', ',', 'made', 'Hebe', 'the', 'child', 'of', 'great', 'Zeus', 'and', 'gold-shod', 'Hera', 'his', 'shy', 'wife', 'in', 'snowy', 'Olympus', '.']","['950-955', ')', 'and', 'mighty', 'heracles', ',', 'the', 'valiant', 'son', 'of', 'neat-ankled', 'alcmena', ',', 'when', 'he', 'had', 'finished', 'his', 'grievous', 'toils', ',', 'made', 'hebe', 'the', 'child', 'of', 'great', 'zeus', 'and', 'gold-shod', 'hera', 'his', 'shy', 'wife', 'in', 'snowy', 'olympus', '.']","['950-955', 'and', 'mighty', 'heracles', 'the', 'valiant', 'son', 'of', 'neat-ankled', 'alcmena', 'when', 'he', 'had', 'finished', 'his', 'grievous', 'toils', 'made', 'hebe', 'the', 'child', 'of', 'great', 'zeus', 'and', 'gold-shod', 'hera', 'his', 'shy', 'wife', 'in', 'snowy', 'olympus']","['950-955', 'mighty', 'heracles', 'valiant', 'son', 'neat-ankled', 'alcmena', 'finished', 'grievous', 'toils', 'made', 'hebe', 'child', 'great', 'zeus', 'gold-shod', 'hera', 'shy', 'wife', 'snowy', 'olympus']","[('950-955', 'CD'), ('mighty', 'NN'), ('heracles', 'NNS'), ('valiant', 'JJ'), ('son', 'NN'), ('neat-ankled', 'JJ'), ('alcmena', 'NN'), ('finished', 'VBD'), ('grievous', 'JJ'), ('toils', 'NNS'), ('made', 'VBN'), ('hebe', 'JJ'), ('child', 'NN'), ('great', 'JJ'), ('zeus', 'JJ'), ('gold-shod', 'JJ'), ('hera', 'NN'), ('shy', 'JJ'), ('wife', 'NN'), ('snowy', 'NN'), ('olympus', 'NN')]"
780,"Happy
he!",9,"['Happy', 'he', '!']","['happy', 'he', '!']","['happy', 'he']",['happy'],"[('happy', 'JJ')]"
781,"For he has finished his great works and lives amongst the undying
gods, untroubled and unageing all his days.",109,"['For', 'he', 'has', 'finished', 'his', 'great', 'works', 'and', 'lives', 'amongst', 'the', 'undying', 'gods', ',', 'untroubled', 'and', 'unageing', 'all', 'his', 'days', '.']","['for', 'he', 'has', 'finished', 'his', 'great', 'works', 'and', 'lives', 'amongst', 'the', 'undying', 'gods', ',', 'untroubled', 'and', 'unageing', 'all', 'his', 'days', '.']","['for', 'he', 'has', 'finished', 'his', 'great', 'works', 'and', 'lives', 'amongst', 'the', 'undying', 'gods', 'untroubled', 'and', 'unageing', 'all', 'his', 'days']","['finished', 'great', 'works', 'lives', 'amongst', 'undying', 'gods', 'untroubled', 'unageing', 'days']","[('finished', 'VBN'), ('great', 'JJ'), ('works', 'NNS'), ('lives', 'VBZ'), ('amongst', 'JJ'), ('undying', 'JJ'), ('gods', 'NNS'), ('untroubled', 'VBD'), ('unageing', 'JJ'), ('days', 'NNS')]"
782,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
783,"956-962) And Perseis, the daughter of Ocean, bare to unwearying
Helios Circe and Aeetes the king.",97,"['956-962', ')', 'And', 'Perseis', ',', 'the', 'daughter', 'of', 'Ocean', ',', 'bare', 'to', 'unwearying', 'Helios', 'Circe', 'and', 'Aeetes', 'the', 'king', '.']","['956-962', ')', 'and', 'perseis', ',', 'the', 'daughter', 'of', 'ocean', ',', 'bare', 'to', 'unwearying', 'helios', 'circe', 'and', 'aeetes', 'the', 'king', '.']","['956-962', 'and', 'perseis', 'the', 'daughter', 'of', 'ocean', 'bare', 'to', 'unwearying', 'helios', 'circe', 'and', 'aeetes', 'the', 'king']","['956-962', 'perseis', 'daughter', 'ocean', 'bare', 'unwearying', 'helios', 'circe', 'aeetes', 'king']","[('956-962', 'CD'), ('perseis', 'JJ'), ('daughter', 'NN'), ('ocean', 'NN'), ('bare', 'NN'), ('unwearying', 'VBG'), ('helios', 'NNS'), ('circe', 'NN'), ('aeetes', 'VBZ'), ('king', 'VBG')]"
784,"And Aeetes, the son of Helios who
shows light to men, took to wife fair-cheeked Idyia, daughter of Ocean
the perfect stream, by the will of the gods: and she was subject to him
in love through golden Aphrodite and bare him neat-ankled Medea.",241,"['And', 'Aeetes', ',', 'the', 'son', 'of', 'Helios', 'who', 'shows', 'light', 'to', 'men', ',', 'took', 'to', 'wife', 'fair-cheeked', 'Idyia', ',', 'daughter', 'of', 'Ocean', 'the', 'perfect', 'stream', ',', 'by', 'the', 'will', 'of', 'the', 'gods', ':', 'and', 'she', 'was', 'subject', 'to', 'him', 'in', 'love', 'through', 'golden', 'Aphrodite', 'and', 'bare', 'him', 'neat-ankled', 'Medea', '.']","['and', 'aeetes', ',', 'the', 'son', 'of', 'helios', 'who', 'shows', 'light', 'to', 'men', ',', 'took', 'to', 'wife', 'fair-cheeked', 'idyia', ',', 'daughter', 'of', 'ocean', 'the', 'perfect', 'stream', ',', 'by', 'the', 'will', 'of', 'the', 'gods', ':', 'and', 'she', 'was', 'subject', 'to', 'him', 'in', 'love', 'through', 'golden', 'aphrodite', 'and', 'bare', 'him', 'neat-ankled', 'medea', '.']","['and', 'aeetes', 'the', 'son', 'of', 'helios', 'who', 'shows', 'light', 'to', 'men', 'took', 'to', 'wife', 'fair-cheeked', 'idyia', 'daughter', 'of', 'ocean', 'the', 'perfect', 'stream', 'by', 'the', 'will', 'of', 'the', 'gods', 'and', 'she', 'was', 'subject', 'to', 'him', 'in', 'love', 'through', 'golden', 'aphrodite', 'and', 'bare', 'him', 'neat-ankled', 'medea']","['aeetes', 'son', 'helios', 'shows', 'light', 'men', 'took', 'wife', 'fair-cheeked', 'idyia', 'daughter', 'ocean', 'perfect', 'stream', 'gods', 'subject', 'love', 'golden', 'aphrodite', 'bare', 'neat-ankled', 'medea']","[('aeetes', 'NNS'), ('son', 'VBP'), ('helios', 'NNS'), ('shows', 'NNS'), ('light', 'JJ'), ('men', 'NNS'), ('took', 'VBD'), ('wife', 'NN'), ('fair-cheeked', 'JJ'), ('idyia', 'NN'), ('daughter', 'NN'), ('ocean', 'VBP'), ('perfect', 'JJ'), ('stream', 'NN'), ('gods', 'NNS'), ('subject', 'JJ'), ('love', 'VBP'), ('golden', 'JJ'), ('aphrodite', 'NN'), ('bare', 'NN'), ('neat-ankled', 'JJ'), ('medea', 'NN')]"
785,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
786,"963-968) And now farewell, you dwellers on Olympus and you islands
and continents and thou briny sea within.",108,"['963-968', ')', 'And', 'now', 'farewell', ',', 'you', 'dwellers', 'on', 'Olympus', 'and', 'you', 'islands', 'and', 'continents', 'and', 'thou', 'briny', 'sea', 'within', '.']","['963-968', ')', 'and', 'now', 'farewell', ',', 'you', 'dwellers', 'on', 'olympus', 'and', 'you', 'islands', 'and', 'continents', 'and', 'thou', 'briny', 'sea', 'within', '.']","['963-968', 'and', 'now', 'farewell', 'you', 'dwellers', 'on', 'olympus', 'and', 'you', 'islands', 'and', 'continents', 'and', 'thou', 'briny', 'sea', 'within']","['963-968', 'farewell', 'dwellers', 'olympus', 'islands', 'continents', 'thou', 'briny', 'sea', 'within']","[('963-968', 'CD'), ('farewell', 'NN'), ('dwellers', 'NNS'), ('olympus', 'VBP'), ('islands', 'VBZ'), ('continents', 'NNS'), ('thou', 'JJ'), ('briny', 'JJ'), ('sea', 'NN'), ('within', 'IN')]"
787,"Now sing the company of
goddesses, sweet-voiced Muses of Olympus, daughter of Zeus who holds
the aegis,—even those deathless one who lay with mortal men and bare
children like unto gods.",186,"['Now', 'sing', 'the', 'company', 'of', 'goddesses', ',', 'sweet-voiced', 'Muses', 'of', 'Olympus', ',', 'daughter', 'of', 'Zeus', 'who', 'holds', 'the', 'aegis', ',', '—even', 'those', 'deathless', 'one', 'who', 'lay', 'with', 'mortal', 'men', 'and', 'bare', 'children', 'like', 'unto', 'gods', '.']","['now', 'sing', 'the', 'company', 'of', 'goddesses', ',', 'sweet-voiced', 'muses', 'of', 'olympus', ',', 'daughter', 'of', 'zeus', 'who', 'holds', 'the', 'aegis', ',', '—even', 'those', 'deathless', 'one', 'who', 'lay', 'with', 'mortal', 'men', 'and', 'bare', 'children', 'like', 'unto', 'gods', '.']","['now', 'sing', 'the', 'company', 'of', 'goddesses', 'sweet-voiced', 'muses', 'of', 'olympus', 'daughter', 'of', 'zeus', 'who', 'holds', 'the', 'aegis', '—even', 'those', 'deathless', 'one', 'who', 'lay', 'with', 'mortal', 'men', 'and', 'bare', 'children', 'like', 'unto', 'gods']","['sing', 'company', 'goddesses', 'sweet-voiced', 'muses', 'olympus', 'daughter', 'zeus', 'holds', 'aegis', '—even', 'deathless', 'one', 'lay', 'mortal', 'men', 'bare', 'children', 'like', 'unto', 'gods']","[('sing', 'VBG'), ('company', 'NN'), ('goddesses', 'VBZ'), ('sweet-voiced', 'JJ'), ('muses', 'NNS'), ('olympus', 'VBP'), ('daughter', 'NN'), ('zeus', 'NN'), ('holds', 'VBZ'), ('aegis', 'RB'), ('—even', 'JJ'), ('deathless', 'NN'), ('one', 'CD'), ('lay', 'NN'), ('mortal', 'JJ'), ('men', 'NNS'), ('bare', 'JJ'), ('children', 'NNS'), ('like', 'IN'), ('unto', 'JJ'), ('gods', 'NNS')]"
788,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
789,"969-974) Demeter, bright goddess, was joined in sweet love with
the hero Iasion in a thrice-ploughed fallow in the rich land of Crete,
and bare Plutus, a kindly god who goes everywhere over land and the
sea’s wide back, and him who finds him and into whose hands he comes he
makes rich, bestowing great wealth upon him.",319,"['969-974', ')', 'Demeter', ',', 'bright', 'goddess', ',', 'was', 'joined', 'in', 'sweet', 'love', 'with', 'the', 'hero', 'Iasion', 'in', 'a', 'thrice-ploughed', 'fallow', 'in', 'the', 'rich', 'land', 'of', 'Crete', ',', 'and', 'bare', 'Plutus', ',', 'a', 'kindly', 'god', 'who', 'goes', 'everywhere', 'over', 'land', 'and', 'the', 'sea', '’', 's', 'wide', 'back', ',', 'and', 'him', 'who', 'finds', 'him', 'and', 'into', 'whose', 'hands', 'he', 'comes', 'he', 'makes', 'rich', ',', 'bestowing', 'great', 'wealth', 'upon', 'him', '.']","['969-974', ')', 'demeter', ',', 'bright', 'goddess', ',', 'was', 'joined', 'in', 'sweet', 'love', 'with', 'the', 'hero', 'iasion', 'in', 'a', 'thrice-ploughed', 'fallow', 'in', 'the', 'rich', 'land', 'of', 'crete', ',', 'and', 'bare', 'plutus', ',', 'a', 'kindly', 'god', 'who', 'goes', 'everywhere', 'over', 'land', 'and', 'the', 'sea', '’', 's', 'wide', 'back', ',', 'and', 'him', 'who', 'finds', 'him', 'and', 'into', 'whose', 'hands', 'he', 'comes', 'he', 'makes', 'rich', ',', 'bestowing', 'great', 'wealth', 'upon', 'him', '.']","['969-974', 'demeter', 'bright', 'goddess', 'was', 'joined', 'in', 'sweet', 'love', 'with', 'the', 'hero', 'iasion', 'in', 'a', 'thrice-ploughed', 'fallow', 'in', 'the', 'rich', 'land', 'of', 'crete', 'and', 'bare', 'plutus', 'a', 'kindly', 'god', 'who', 'goes', 'everywhere', 'over', 'land', 'and', 'the', 'sea', '’', 's', 'wide', 'back', 'and', 'him', 'who', 'finds', 'him', 'and', 'into', 'whose', 'hands', 'he', 'comes', 'he', 'makes', 'rich', 'bestowing', 'great', 'wealth', 'upon', 'him']","['969-974', 'demeter', 'bright', 'goddess', 'joined', 'sweet', 'love', 'hero', 'iasion', 'thrice-ploughed', 'fallow', 'rich', 'land', 'crete', 'bare', 'plutus', 'kindly', 'god', 'goes', 'everywhere', 'land', 'sea', '’', 'wide', 'back', 'finds', 'whose', 'hands', 'comes', 'makes', 'rich', 'bestowing', 'great', 'wealth', 'upon']","[('969-974', 'JJ'), ('demeter', 'NN'), ('bright', 'VBD'), ('goddess', 'NN'), ('joined', 'VBD'), ('sweet', 'JJ'), ('love', 'NN'), ('hero', 'NN'), ('iasion', 'NN'), ('thrice-ploughed', 'JJ'), ('fallow', 'NN'), ('rich', 'JJ'), ('land', 'NN'), ('crete', 'NN'), ('bare', 'NN'), ('plutus', 'NN'), ('kindly', 'RB'), ('god', 'VBD'), ('goes', 'VBZ'), ('everywhere', 'RB'), ('land', 'VBP'), ('sea', 'NN'), ('’', 'NNP'), ('wide', 'JJ'), ('back', 'RB'), ('finds', 'VBZ'), ('whose', 'WP$'), ('hands', 'NNS'), ('comes', 'VBZ'), ('makes', 'VBZ'), ('rich', 'JJ'), ('bestowing', 'VBG'), ('great', 'JJ'), ('wealth', 'NN'), ('upon', 'IN')]"
790,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
791,"975-978) And Harmonia, the daughter of golden Aphrodite, bare to
Cadmus Ino and Semele and fair-cheeked Agave and Autonoe whom long
haired Aristaeus wedded, and Polydorus also in rich-crowned Thebe.",198,"['975-978', ')', 'And', 'Harmonia', ',', 'the', 'daughter', 'of', 'golden', 'Aphrodite', ',', 'bare', 'to', 'Cadmus', 'Ino', 'and', 'Semele', 'and', 'fair-cheeked', 'Agave', 'and', 'Autonoe', 'whom', 'long', 'haired', 'Aristaeus', 'wedded', ',', 'and', 'Polydorus', 'also', 'in', 'rich-crowned', 'Thebe', '.']","['975-978', ')', 'and', 'harmonia', ',', 'the', 'daughter', 'of', 'golden', 'aphrodite', ',', 'bare', 'to', 'cadmus', 'ino', 'and', 'semele', 'and', 'fair-cheeked', 'agave', 'and', 'autonoe', 'whom', 'long', 'haired', 'aristaeus', 'wedded', ',', 'and', 'polydorus', 'also', 'in', 'rich-crowned', 'thebe', '.']","['975-978', 'and', 'harmonia', 'the', 'daughter', 'of', 'golden', 'aphrodite', 'bare', 'to', 'cadmus', 'ino', 'and', 'semele', 'and', 'fair-cheeked', 'agave', 'and', 'autonoe', 'whom', 'long', 'haired', 'aristaeus', 'wedded', 'and', 'polydorus', 'also', 'in', 'rich-crowned', 'thebe']","['975-978', 'harmonia', 'daughter', 'golden', 'aphrodite', 'bare', 'cadmus', 'ino', 'semele', 'fair-cheeked', 'agave', 'autonoe', 'long', 'haired', 'aristaeus', 'wedded', 'polydorus', 'also', 'rich-crowned', 'thebe']","[('975-978', 'CD'), ('harmonia', 'NN'), ('daughter', 'NN'), ('golden', 'JJ'), ('aphrodite', 'NN'), ('bare', 'NN'), ('cadmus', 'NN'), ('ino', 'NN'), ('semele', 'VBD'), ('fair-cheeked', 'JJ'), ('agave', 'JJ'), ('autonoe', 'NN'), ('long', 'RB'), ('haired', 'VBD'), ('aristaeus', 'NN'), ('wedded', 'VBD'), ('polydorus', 'NN'), ('also', 'RB'), ('rich-crowned', 'JJ'), ('thebe', 'NN')]"
792,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
793,"979-983) And the daughter of Ocean, Callirrhoe was joined in the
love of rich Aphrodite with stout hearted Chrysaor and bare a son who
was the strongest of all men, Geryones, whom mighty Heracles killed in
sea-girt Erythea for the sake of his shambling oxen.",258,"['979-983', ')', 'And', 'the', 'daughter', 'of', 'Ocean', ',', 'Callirrhoe', 'was', 'joined', 'in', 'the', 'love', 'of', 'rich', 'Aphrodite', 'with', 'stout', 'hearted', 'Chrysaor', 'and', 'bare', 'a', 'son', 'who', 'was', 'the', 'strongest', 'of', 'all', 'men', ',', 'Geryones', ',', 'whom', 'mighty', 'Heracles', 'killed', 'in', 'sea-girt', 'Erythea', 'for', 'the', 'sake', 'of', 'his', 'shambling', 'oxen', '.']","['979-983', ')', 'and', 'the', 'daughter', 'of', 'ocean', ',', 'callirrhoe', 'was', 'joined', 'in', 'the', 'love', 'of', 'rich', 'aphrodite', 'with', 'stout', 'hearted', 'chrysaor', 'and', 'bare', 'a', 'son', 'who', 'was', 'the', 'strongest', 'of', 'all', 'men', ',', 'geryones', ',', 'whom', 'mighty', 'heracles', 'killed', 'in', 'sea-girt', 'erythea', 'for', 'the', 'sake', 'of', 'his', 'shambling', 'oxen', '.']","['979-983', 'and', 'the', 'daughter', 'of', 'ocean', 'callirrhoe', 'was', 'joined', 'in', 'the', 'love', 'of', 'rich', 'aphrodite', 'with', 'stout', 'hearted', 'chrysaor', 'and', 'bare', 'a', 'son', 'who', 'was', 'the', 'strongest', 'of', 'all', 'men', 'geryones', 'whom', 'mighty', 'heracles', 'killed', 'in', 'sea-girt', 'erythea', 'for', 'the', 'sake', 'of', 'his', 'shambling', 'oxen']","['979-983', 'daughter', 'ocean', 'callirrhoe', 'joined', 'love', 'rich', 'aphrodite', 'stout', 'hearted', 'chrysaor', 'bare', 'son', 'strongest', 'men', 'geryones', 'mighty', 'heracles', 'killed', 'sea-girt', 'erythea', 'sake', 'shambling', 'oxen']","[('979-983', 'JJ'), ('daughter', 'NN'), ('ocean', 'NN'), ('callirrhoe', 'NN'), ('joined', 'VBD'), ('love', 'JJR'), ('rich', 'JJ'), ('aphrodite', 'NN'), ('stout', 'NN'), ('hearted', 'VBD'), ('chrysaor', 'NN'), ('bare', 'NN'), ('son', 'NN'), ('strongest', 'JJS'), ('men', 'NNS'), ('geryones', 'NNS'), ('mighty', 'NNS'), ('heracles', 'NNS'), ('killed', 'VBD'), ('sea-girt', 'JJ'), ('erythea', 'NNS'), ('sake', 'VBP'), ('shambling', 'VBG'), ('oxen', 'NN')]"
794,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
795,"984-991) And Eos bare to Tithonus brazen-crested Memnon, king of
the Ethiopians, and the Lord Emathion.",103,"['984-991', ')', 'And', 'Eos', 'bare', 'to', 'Tithonus', 'brazen-crested', 'Memnon', ',', 'king', 'of', 'the', 'Ethiopians', ',', 'and', 'the', 'Lord', 'Emathion', '.']","['984-991', ')', 'and', 'eos', 'bare', 'to', 'tithonus', 'brazen-crested', 'memnon', ',', 'king', 'of', 'the', 'ethiopians', ',', 'and', 'the', 'lord', 'emathion', '.']","['984-991', 'and', 'eos', 'bare', 'to', 'tithonus', 'brazen-crested', 'memnon', 'king', 'of', 'the', 'ethiopians', 'and', 'the', 'lord', 'emathion']","['984-991', 'eos', 'bare', 'tithonus', 'brazen-crested', 'memnon', 'king', 'ethiopians', 'lord', 'emathion']","[('984-991', 'CD'), ('eos', 'NNS'), ('bare', 'JJ'), ('tithonus', 'IN'), ('brazen-crested', 'JJ'), ('memnon', 'NN'), ('king', 'NN'), ('ethiopians', 'NNS'), ('lord', 'VBP'), ('emathion', 'NN')]"
